survey_title,HC,OT,A,AB,SC,SP,date.(UTC),year,reef,reef_pooled,site,habitat,zone,site_latitude,site_longitude,plot,cluster,survey_id,site_id,date
CBHE_FL1S_P3_202205_42,55.61904762,0.19047619,39.42857143,4.0,0.571428571,0.19047619,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,FL1,FL,S,-23.44764618,151.9578134,3,CB,84879,17885,202205
CBHE_FL1S_P3_202305_42,47.52380952,0.238095238,48.38095238,2.142857143,1.380952381,0.333333333,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,FL1,FL,S,-23.44764618,151.9578134,3,CB,86223,17885,202305
CBHE_FL1S_P4_202105_42,31.07317073,0.097560976,66.63414634,1.804878049,0.390243902,0.0,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,FL1,FL,S,-23.44764618,151.9578134,4,CB,84102,17885,202105
CBHE_FL1S_P4_202205_42,28.33333333,0.142857143,64.9047619,5.523809524,0.761904762,0.333333333,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,FL1,FL,S,-23.44764618,151.9578134,4,CB,84880,17885,202205
CBHE_FL1S_P4_202305_42,19.85714286,0.19047619,75.85714286,3.476190476,0.571428571,0.047619048,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,FL1,FL,S,-23.44764618,151.9578134,4,CB,86224,17885,202305
CBHE_FR1D_P1_202105_42,27.14285714,0.095238095,64.04761905,3.619047619,5.0,0.095238095,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,FR1,FR,D,-23.44764618,151.9578134,1,CB,84103,17885,202105
CBHE_FR1D_P1_202205_42,23.80952381,0.142857143,68.47619048,1.476190476,4.904761905,1.19047619,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,FR1,FR,D,-23.44764618,151.9578134,1,CB,84881,17885,202205
CBHE_FR1D_P1_202305_42,21.71428571,0.142857143,68.85714286,5.333333333,3.380952381,0.571428571,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,FR1,FR,D,-23.44764618,151.9578134,1,CB,86225,17885,202305
CBHE_FR1D_P2_202105_42,18.58536585,0.243902439,71.26829268,4.829268293,4.780487805,0.292682927,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,FR1,FR,D,-23.44764618,151.9578134,2,CB,84104,17885,202105
CBHE_FR1D_P2_202205_42,15.33333333,0.19047619,77.57142857,2.476190476,4.095238095,0.333333333,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,FR1,FR,D,-23.44764618,151.9578134,2,CB,84882,17885,202205
CBHE_FR1D_P2_202305_42,15.0,0.095238095,71.95238095,7.142857143,5.19047619,0.619047619,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,FR1,FR,D,-23.44764618,151.9578134,2,CB,86226,17885,202305
CBHE_FR1D_P3_202105_42,52.47619048,0.285714286,38.95238095,1.285714286,6.761904762,0.238095238,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,FR1,FR,D,-23.44764618,151.9578134,3,CB,84105,17885,202105
CBHE_FR1D_P3_202205_42,45.66666667,0.428571429,46.80952381,1.571428571,4.952380952,0.571428571,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,FR1,FR,D,-23.44764618,151.9578134,3,CB,84883,17885,202205
CBHE_FR1D_P3_202305_42,41.0,0.428571429,50.04761905,1.619047619,6.428571429,0.476190476,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,FR1,FR,D,-23.44764618,151.9578134,3,CB,86227,17885,202305
CBHE_FR1D_P4_202105_42,37.76190476,0.285714286,50.61904762,1.380952381,9.80952381,0.142857143,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,FR1,FR,D,-23.44764618,151.9578134,4,CB,84106,17885,202105
CBHE_FR1D_P4_202205_42,33.0952381,0.047619048,53.76190476,1.476190476,11.23809524,0.380952381,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,FR1,FR,D,-23.44764618,151.9578134,4,CB,84884,17885,202205
CBHE_FR1D_P4_202305_42,29.71428571,0.380952381,60.14285714,1.142857143,8.238095238,0.380952381,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,FR1,FR,D,-23.44764618,151.9578134,4,CB,86228,17885,202305
CBHE_FR1S_P1_202105_42,18.9047619,0.0,74.61904762,0.523809524,5.80952381,0.142857143,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,FR1,FR,S,-23.44764618,151.9578134,1,CB,84107,17885,202105
CBHE_FR1S_P1_202205_42,17.95238095,0.19047619,76.0,1.047619048,4.714285714,0.095238095,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,FR1,FR,S,-23.44764618,151.9578134,1,CB,84885,17885,202205
CBHE_FR1S_P1_202305_42,13.66666667,0.19047619,82.0,1.428571429,2.619047619,0.095238095,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,FR1,FR,S,-23.44764618,151.9578134,1,CB,86229,17885,202305
CBHE_FR1S_P2_202105_42,21.07317073,0.43902439,70.04878049,0.780487805,7.56097561,0.097560976,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,FR1,FR,S,-23.44764618,151.9578134,2,CB,84108,17885,202105
CBHE_FR1S_P2_202205_42,20.28571429,0.19047619,73.9047619,0.428571429,5.047619048,0.142857143,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,FR1,FR,S,-23.44764618,151.9578134,2,CB,84886,17885,202205
CBHE_FR1S_P2_202305_42,19.28571429,0.285714286,73.61904762,1.333333333,5.380952381,0.095238095,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,FR1,FR,S,-23.44764618,151.9578134,2,CB,86230,17885,202305
CBHE_FR1S_P3_202105_42,21.37142857,0.171428571,67.88571429,0.514285714,10.0,0.057142857,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,FR1,FR,S,-23.44764618,151.9578134,3,CB,84109,17885,202105
CBHE_FR1S_P3_202205_42,21.26829268,0.146341463,68.97560976,0.780487805,8.682926829,0.146341463,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,FR1,FR,S,-23.44764618,151.9578134,3,CB,84887,17885,202205
